Text,Text Original,True Emotion,Predicted Emotion
This is MasterChef.,To jest MasterChef.,disgust,neutral
Here they are.,Oto oni.,neutral,surprise
which were bustling around the kitchen there.,które tam krzątały się po kuchni.,surprise,joy
I was born with a sense for the kitchen and a sense of taste.,Urodziłem się z wyczuciem kuchni i z wyczuciem smaku.,joy,surprise
I love to eat good things.,Ja uwielbiam jeść dobre rzeczy.,joy,neutral
"High stakes, you only win by taking risks.","Wysokie stawki, wygrywa się tylko ryzykiem.",anger,disgust
I started under the slogan from cutlet to Masterchef.,Startowałam pod hasłem od kotleta do Masterchefa.,fear,sadness
The Groży prepared an unusual and very demanding task for them.,Groży przygotowali dla nich nietypowe i bardzo wymagające zadanie.,surprise,joy
I enter the market square and look.,Wchodzę na rynek i patrzę.,neutral,sadness
We all expected something completely different.,Wszyscy spodziewaliśmy się czegoś zupełnie innego.,neutral,joy
"What, some trees?","Co, jakieś drzewa?",joy,surprise
As you plant.,Jak posadzisz.,surprise,joy
There were some speculations.,Były jakieś spekulacje.,joy,surprise
"Maybe for a wedding, maybe for someone important.","Może na wesele, może dla kogoś ważnego.",joy,anger
You will prepare a birthday party for 150 special people.,Przygotujecie imprezę urodzinową dla 150 wyjątkowych osób.,neutral,sadness
I have never cooked for so many people.,Dla tak dużej ilości ludzi nigdy nie gotowałem.,neutral,surprise
CHILDREN!,DZIECI!,fear,neutral
A good choice is a key decision.,Dobry wybór to kluczowa decyzja.,sadness,surprise
"Well, I was a little sad.",No troszkę mnie było przykro.,surprise,joy
We had no problem with appointing Krzysiek as the leader.,"Nie mieliśmy problemu z tym, żeby ustawić Krzyśka jako lidera.",anger,surprise
"Diana, for a very simple reason, Diana is our best seamstress.","Diana, z bardzo prostej przyczyny Diana jest naszą najlepszą sukienniczką.",anger,surprise
"You are for desserts, I don't look for anything for desserts, you look for everything for desserts.","Ty jesteś za desery, ja nic nie szukam dla deserów, ty wszystko do deserów ty szukasz.",sadness,surprise
Yes.,Tak.,neutral,joy
"Take the pepper, more onions, more tomatoes.","Weź paprykę, więcej cebuli, więcej pomidorów.",joy,neutral
Don't take the hand!,Nie bierz rękę!,surprise,joy
"Krzysiek, Leszek, 30 seconds!","Krzysiek, Leszek, 30 sekund!",surprise,neutral
Stop!,Stop!,fear,sadness
"We will start with the simplest things, a regular Fungi pizza, but seasoned much more delicately than we would eat it ourselves.","Zaczniemy od najprostszych rzeczy, zwykłą pizzę Fungi, z tym, że przyprawioną dużo delikatniej, niż my byśmy to zjedli.",surprise,sadness
"As the main dish, mainly nuggets, and there will also be potato chips.","Jako danie głównie nuggetsy, do tego będą chipsy ziemniaczane.",joy,sadness
"Obviously, everyone present at this moment likes fast food, especially children.","Wiadomo, wszyscy w tej chwili obecni lubią fast foody, tym bardziej dzieci.",joy,surprise
150 children.,150 dzieci.,anger,disgust
Pancakes?,Naleśniki?,fear,sadness
Pancakes.,Naleśniki.,fear,surprise
We will do it.,Zrobimy.,neutral,anger
The plan is to make the most delicious pizza so that all the children are enchanted by our pizza.,"Planem jest to, żeby zrobić najpyszniejszą pizzę, żeby wszystkie dzieci były zaszarowane naszą pizzą.",surprise,neutral
We are not stressing!,Nie stresujemy się!,sadness,surprise
How many pizzas are there for 150 children?,Ile pizze ma na 150 dzieci?,surprise,joy
"What unfortunate things, what are you talking about?","Jakie nieszczęsne, o czym ty mówisz?",surprise,sadness
because I am a human being.,bo ja jestem człowiekiem.,anger,surprise
This is a surprise.,To jest niespodzianka.,surprise,joy
So will there be a surprise?,To jak będzie niespodzianka?,sadness,fear
I will get ready there.,Tam przygotuję się.,surprise,joy
I'm going back to work.,Wracam do pracy.,fear,sadness
"Or two times three kilos, so we're going with a huge supply of cake,","Lub dwa razy po trzy kilo, to idziemy z ogromnym zapasem ciasta,",neutral,joy
because I knew that I would have the most strength,"gdyż wiedziałem, że mi najbardziej starczy siły",surprise,joy
Son.,Synu.,sadness,neutral
I will correct it.,Poprawię.,sadness,joy
Is this supposed to grow?,To ma urosnąć?,joy,surprise
Yes.,Tak.,sadness,joy
I'm beating egg whites.,Ubijam białka.,surprise,sadness
"For cake, for cake, for brownies.","Do ciasta, do ciasta, do brownies.",surprise,joy
I can't hear?,Nie słyszę?,anger,surprise
All of them?,Wszystkie?,neutral,surprise
All of them?,Wszystkie?,joy,surprise
In half.,Na pół.,surprise,joy
Split it in half.,Daj na pół.,fear,surprise
"No, no, no.","Nie, nie, nie.",surprise,sadness
"No, no, no.","Nie, nie, nie.",neutral,joy
Is the cake going into the oven?,Ciasto idzie do pieca?,fear,surprise
"You have to start now, you'll give it your all.","Musisz teraz zaczynać, dasz do pieca.",surprise,fear
You can't wait until the last minute.,Nie można czekać na ostatniego minuta.,surprise,joy
Everything 150.,Wszystko 150.,surprise,joy
Of course.,Oczywiście.,disgust,neutral
Okay.,Okej.,sadness,surprise
Thanks boss.,Dzięki szefie.,neutral,anger
Will they play the finished one?,Puszczą gotowe?,fear,joy
Yes.,Tak.,sadness,surprise
"Attention, everyone is tasting the nuggets, quickly.","Uwaga, każdy degustuje nuggetsy, szybciutko.",fear,sadness
Do you listen to the boss?,Czy słuchacie się szefa?,anger,neutral
Yes.,Tak.,sadness,surprise
What question.,Jakie pytanie.,surprise,joy
I'm afraid that the pizza dough is still in the process of being made.,"Ja się obawiam, że jeszcze ciasto do pizza jest w trakcie zrobienia.",surprise,neutral
which they had for an hour.,które mieli od godziny.,surprise,joy
because pizza without cheese is like a soldier without a rifle.,bo pizza bez sera jest jak żołnierz bez karabinu.,surprise,joy
"Paweł, how much time do you need to finish the cheese?","Paweł, ile czasu potrzebujesz do końca sera?",surprise,disgust
You have 20 minutes.,Masz 20 minut.,sadness,surprise
Okay.,Okej.,fear,sadness
so that the task gets done.,"po to, żeby zadanie zostało wykonane.",surprise,sadness
Paweł.,Paweł.,anger,surprise
"Paweł, I would ask you to start greasing those countertops now","Paweł, prosiłbym Cię o smarowanie już tych blatów",surprise,disgust
"No, I have to adapt it for children.","No, muszę dostosować go do dzieci.",sadness,surprise
We'll see.,To się okaże.,surprise,joy
What is this?,Co to jest?,surprise,sadness
This is a cake to be made again.,To jest ciasto jeszcze raz do zrobienia.,neutral,anger
An hour and fifteen minutes have already passed.,Minęło już godzinę i piętnaście minut.,surprise,joy
Is it half a meter?,Jest pół metra?,sadness,neutral
"Half a meter, yes.","Pół metra, tak.",surprise,fear
And I'm starting to worry.,A ja zaczynam się martwić.,surprise,neutral
"When we finish with the meat, we wrap the pancakes.","Jak skończymy z mięsem, zawijamy naleśniki.",sadness,surprise
Okay.,Dobra.,surprise,fear
"Move now, we need to move there.","Ruchaj teraz, trzeba się ruszać tam.",surprise,sadness
"You see that pizza in the oven in two minutes, right?","Ty widzisz tę pizzę w piecu za dwie minuty, zgadza się?",surprise,joy
that we have to put so many pizza birds in at once.,że musimy wsadzić tyle ptacy pizzy naraz.,joy,surprise
"I was convinced that the reds are better, and I am worried.","Byłem przekonany, że czerwoni są lepsi, a ja martwię.",sadness,surprise
"They are supposed to give this to the children to eat, that's obvious.","Mają to dać dzieciom jeść, to jest ewidentne.",joy,surprise
"I'm listening, you are next to me here.","Słucham, jesteś koło mnie tutaj.",joy,surprise
"It's not good, there are a lot of them.","Nie jest dobrze, jest ich multum.",surprise,neutral
"No, I thought there were more than 150 kids, right?","Nie no, wydało mi się, że jest więcej niż 150 dzieciaków, no nie?",joy,surprise
Music,Muzyka,surprise,joy
We have a real Masterchef apron.,Mamy prawdziwy fartucha Masterchefa.,surprise,joy
"Come on, Kalenka, pretty one.","Pójdź Kalenka, ładny.",neutral,surprise
You will be able to cook in a real apron.,Będziesz mogła gotować w prawdziwym fartuchu.,neutral,fear
"Of course, the baskets are for you too.",Oczywiście kosze też są dla Was.,sadness,surprise
"for that team, which he did not like.","na tę drużynę, której nie smakował.",sadness,surprise
Music,Muzyka,surprise,joy
Music,Muzyka,sadness,neutral
Music,Muzyka,surprise,sadness
Music,Muzyka,surprise,sadness
Music,Muzyka,surprise,neutral
Music,Muzyka,neutral,sadness
Music,Muzyka,fear,anger
Music,Muzyka,sadness,fear
Music,Muzyka,sadness,fear
Music,Muzyka,joy,surprise
Music,Muzyka,fear,surprise
Music,Muzyka,surprise,sadness
Music,Muzyka,fear,anger
Music,Muzyka,surprise,anger
Music,Muzyka,surprise,joy
Music,Muzyka,sadness,joy
Music,Muzyka,fear,surprise
Music,Muzyka,joy,surprise
Music,Muzyka,surprise,sadness
And here we have Shrek's teeth. What do you prefer? Eyes or teeth?,I tu mamy zęby Shreka. Co wolisz? Oczy czy zęby?,anger,surprise
I like pancakes the most.,Najbardziej mi smakują naleśniki.,fear,joy
All strength! All strength!,Całe siły! Całe siły!,surprise,neutral
Red ones.,Czerwoni.,sadness,neutral
Why?,Dlaczego?,surprise,joy
Smiling children. Entirely brown faces from chocolate cake.,Uśmiechnięte dzieci. Całe brązowe buzie od murzynka.,surprise,joy
"Here you go, strawberry.","Proszę bardzo, truskawka.",surprise,sadness
Can I have two pieces?,Można dwa kawałki?,anger,surprise
You're welcome.,Proszę bardzo.,neutral,surprise
Reds! Reds! Reds!,Czerwoni! Czerwoni! Czerwoni!,surprise,joy
"My dears, most of you have already voted","Moi kochani, większość z was już zagłosowała",joy,surprise
"because the three most important people today,","ponieważ trzy najważniejsze dzisiaj osoby,",surprise,joy
and their voice counts as much as 10 balloons.,a ich głos liczy się tak jak 10 balonów.,sadness,surprise
"No, no, no, please, please, no, no, no.","Nie, nie, nie, proszę, proszę, nie, nie, nie.",joy,fear
10 balloons described after one and a half months.,10 balonów opisanych po półtora miesiąca.,fear,neutral
Will it start to open after one and a half?,Czy po półtora zacznie się otworzyć?,surprise,neutral
"It's over, we're basically done for.","Koniec, jesteśmy ugotowani generalnie.",surprise,anger
"A weight off the heart, really, we won for ourselves!","Kamień serca, naprawdę, my się sobie wygraliśmy!",anger,surprise
The team of the rejected has won.,Drużyna odrzuconych zwyciężyła.,neutral,anger
"Because the kids preferred pizza, right?","No bo dzieci wolały pizzę, no nie?",joy,surprise
"What disappointed me, where is that surprise,","Co mnie rozczarowało, gdzie jest ta niespodzianka,",joy,surprise
"There was supposed to be a surprise and the main surprise,","Miała być niespodzianka i ta główna niespodzianka,",surprise,sadness
"There was supposed to be a meringue cake, but that's just how it happened","Miał być tort bezowy, no ale tak się zdarzyło",sadness,surprise
The team was really wonderful and I can't name them.,Drużyna naprawdę była wspaniała i nie mogę wymienić.,surprise,joy
"You were with them on the balcony, and they were down there.","Ty byłeś z nimi na balkonie, a oni tam na dole.",fear,neutral
Remember this.,Pamiętaj o tym.,surprise,joy
"It would be a moral hangover and not on my level,","Byłby to kac moralny i nie na moim poziomie,",anger,surprise
Nice guy and I think I did the right thing.,"Fajny facet i myślę, że postąpiłem słusznie.",joy,neutral
"I can be very tough in business,","Potrafię w biznesie być bardzo twardy,",fear,neutral
Masterchef must know what he is cooking with.,"Masterchef musi wiedzieć, z czego gotuje.",surprise,fear
Journey through taste.,Podróż poprzez smak.,joy,surprise
Your task will be to recognize as many products as possible.,Twoim zadaniem będzie rozpoznanie jak największej ilości produktów.,anger,surprise
"I am the kind of guy who likes to walk around shops, to look around.","Ja jestem takim facetem, który lubi chodzić po sklepach, pooglądać.",surprise,joy
"So Leszek, are you ready?","No Leszek, jesteś gotowy?",surprise,neutral
Grenade.,Granat.,neutral,fear
I am sure.,Jestem pewien.,surprise,joy
"This is, I mean, parsley in the sense that this is the root of parsley.","To jest, znaczy, pietruszka w sensie, że to jest korzeń z pietruszki.",surprise,sadness
"Alright, I'll tell you what it is.","Dobrze, ja ci powiem co to jest.",anger,fear
This is a parsnip.,To jest pasternak.,sadness,surprise
He starts with a sure thing.,Zaczyna od pewniaka.,sadness,surprise
I think idiots are making a fool out of me.,Chyba idioti ze mnie jakieś debile robią.,surprise,neutral
"Yes, I am sure.","Tak, jestem pewien.",surprise,joy
Very similar.,Bardzo podobne.,joy,surprise
Yes.,Tak.,neutral,surprise
"Aniu, unfortunately, this is not a lychee fruit.","Aniu, to niestety nie jest owoc litchi.",surprise,anger
"This is not knowledge on the level of Masterchef, but at the same time","To nie jest wiedza na miarę Masterchefa, ale równocześnie",neutral,sadness
"I thought that, in general, this is abstract.","Pomyślałam, że w ogóle to jest abstrakcyjne.",sadness,surprise
It didn't reach me at all.,Nie docierało to do mnie w ogóle.,fear,surprise
"I was 99% sure it was parsnip, but I thought, I won't say anything yet, because if it's parsley, then I might be taking an unnecessary risk, right?","Na 99% byłam pewna, że to jest pasternak, ale mówię, jeszcze nie powiem, bo jak pietruszka, no to niepotrzebnie mogę ryzykować, prawda?",anger,neutral
But which basil?,Ale jaka bazylia?,neutral,joy
"Yes, this is a grenade.","Tak, to jest granat.",surprise,sadness
Oregano.,Oregano.,disgust,anger
"Yes, this is oregano.","Tak, to jest oregano.",fear,surprise
You didn't have.,Nie mieliście.,surprise,joy
Lemongrass.,Trawa cytrynowa.,fear,neutral
Marakuja.,Marakuja.,joy,surprise
"Yes, these are shiitake mushrooms.","Tak, to są grzyby shiitake.",anger,surprise
This is not a quince.,To nie jest pigwa.,joy,surprise
I don't know how many the others guessed.,"Nie wiem, ile odgadnęli pozostali.",surprise,sadness
"As I stood, I said, is that enough?","Jak stałam, ja mówię, czy to wystarczy.",surprise,sadness
Will it work?,Czy to się sprawdzi?,anger,joy
"Yes, like in some supermarket.","Tak, jak w jakimś supermarkecie.",sadness,fear
Karambola.,Karambola.,surprise,joy
"Yes, this is cardamom.","Tak, to jest kardamon.",fear,neutral
Today I am very happy that it is not my time yet.,"Dzisiaj jestem bardzo szczęśliwa, że jeszcze nie pora na mnie.",surprise,sadness
Put the apron back in your place.,Odłóż fartucha na swoje stanowisko.,joy,surprise
I think someone will notice me after this show and maybe I'll get another chance.,"Myślę, że ktoś mnie zauważy po tym programie i może jakąś inną szansę dostanę.",joy,anger
"For now, I'm going back to London, and I hope I'll return to Poland soon.","Na chwilę obecną wracam do Londynu, a mam nadzieję, że szybko wrócę do Polski.",joy,neutral
A very important thing is the temperature of this filling.,Bardzo ważną rzeczą jest temperatura tego farszu.,surprise,joy
I feel that we will have a surprise today or next time.,"Czuję, że będziemy mieli niespodziankę dzisiaj następnej.",anger,joy
Did you cross?,Przeprawiłeś?,surprise,joy
